Installation,Taux occupation civières(%),Nombre de civières fonctionnelles,Nombre de patients sur civière,Nombre de patients sur civière +24h,Nombre de patients sur civière +48h,Nombre patients arrivés en ambulance,Nombre inscriptions,Nombre inscriptions avec SAG,date
Hôpital de Lachine,64,14,9,3,1,13,62,0,2020-01-27
Hôpital général de Montréal,132,31,41,14,11,46,118,2,2020-01-27
Hôpital Royal Victoria,161,33,53,32,20,30,156,2,2020-01-27
L'hôpital de Montréal pour enfants,50,12,6,0,0,12,279,14,2020-01-27
Institut de cardiologie de Montréal,95,22,21,4,1,1,74,0,2020-01-27
CHU Sainte-Justine,106,16,17,0,0,18,290,106,2020-01-28
Centre hospitalier de l'Université de Montréal,155,51,79,26,12,58,192,0,2020-01-28
Hôpital Louis-H. Lafontaine,192,12,23,16,9,1,16,0,2020-01-28
Hôpital Santa Cabrini,66,38,25,0,0,52,128,0,2020-01-28
Pavillon Maisonneuve/Pavillon Marcel-Lamoureux,161,54,87,20,2,59,222,3,2020-01-28
Centre hospitalier de St. Mary,77,22,17,2,0,28,126,3,2020-01-28
Hôpital de LaSalle,127,15,19,5,0,17,96,0,2020-01-28
Hôpital Douglas,217,6,13,13,8,0,0,0,2020-01-28
Hôpital général du Lakeshore,177,31,55,14,1,34,154,0,2020-01-28
L'Hôpital général juif Sir Mortimer B. Davis,209,53,111,32,4,50,283,8,2020-01-28
Hôpital de Verdun,127,26,33,7,1,40,135,0,2020-01-28
Hôpital Notre-Dame,129,35,45,7,1,50,139,0,2020-01-28
Hôpital du Sacré-Coeur de Montréal,137,46,63,23,8,43,207,14,2020-01-28
Hôpital Fleury,78,18,14,2,0,26,112,9,2020-01-28
Hôpital Jean-Talon,100,22,22,2,0,28,137,4,2020-01-28
Pavillon Albert-Prévost,77,13,10,7,5,0,12,0,2020-01-28
Hôpital de Lachine,107,14,15,2,1,15,67,0,2020-01-28
Hôpital général de Montréal,132,31,41,15,7,39,106,3,2020-01-28
Hôpital Royal Victoria,164,33,54,30,13,28,140,2,2020-01-28
L'hôpital de Montréal pour enfants,150,12,18,0,0,14,290,23,2020-01-28
Institut de cardiologie de Montréal,59,22,13,1,0,5,70,0,2020-01-28
CHU Sainte-Justine,75,16,12,0,0,13,283,106,2020-01-29
Centre hospitalier de l'Université de Montréal,169,51,86,33,8,59,209,0,2020-01-29
Hôpital Louis-H. Lafontaine,208,12,25,20,12,2,18,0,2020-01-29
Hôpital Santa Cabrini,92,38,35,7,0,34,103,0,2020-01-29
Pavillon Maisonneuve/Pavillon Marcel-Lamoureux,157,54,85,22,1,68,231,5,2020-01-29
Centre hospitalier de St. Mary,109,22,24,3,0,30,118,0,2020-01-29
Hôpital de LaSalle,100,15,15,3,2,13,84,0,2020-01-29
Hôpital général du Lakeshore,161,31,50,18,3,26,107,0,2020-01-29
L'Hôpital général juif Sir Mortimer B. Davis,191,53,101,38,13,47,262,13,2020-01-29
Hôpital de Verdun,165,26,43,13,1,41,140,0,2020-01-29
Hôpital Notre-Dame,103,35,36,11,2,47,114,0,2020-01-29
Hôpital du Sacré-Coeur de Montréal,120,46,55,19,11,36,191,7,2020-01-29
Hôpital Fleury,61,18,11,0,0,19,114,6,2020-01-29
Hôpital Jean-Talon,95,22,21,3,0,23,116,4,2020-01-29
Pavillon Albert-Prévost,85,13,11,6,5,0,14,0,2020-01-29
Hôpital de Lachine,71,14,10,4,0,9,57,0,2020-01-29
Hôpital général de Montréal,142,31,44,19,10,34,106,5,2020-01-29
Hôpital Royal Victoria,155,33,51,21,13,26,133,2,2020-01-29
L'hôpital de Montréal pour enfants,75,12,9,1,0,11,244,16,2020-01-29
Institut de cardiologie de Montréal,50,22,11,2,0,1,64,0,2020-01-29
CHU Sainte-Justine,100,16,16,0,0,13,279,95,2020-01-30
Centre hospitalier de l'Université de Montréal,145,51,74,30,10,32,157,0,2020-01-30
Hôpital Louis-H. Lafontaine,208,12,25,14,10,3,25,0,2020-01-30
Hôpital Santa Cabrini,84,38,32,5,1,39,108,0,2020-01-30
Pavillon Maisonneuve/Pavillon Marcel-Lamoureux,126,54,68,21,3,54,194,1,2020-01-30
Centre hospitalier de St. Mary,109,22,24,2,0,23,109,2,2020-01-30
Hôpital de LaSalle,113,15,17,3,0,12,88,0,2020-01-30
Hôpital général du Lakeshore,126,31,39,13,5,18,106,0,2020-01-30
L'Hôpital général juif Sir Mortimer B. Davis,164,53,87,26,12,43,230,6,2020-01-30
Hôpital de Verdun,192,26,50,14,3,35,116,2,2020-01-30
Hôpital Notre-Dame,80,35,28,7,2,40,110,0,2020-01-30
Hôpital du Sacré-Coeur de Montréal,120,46,55,23,12,38,166,7,2020-01-30
Hôpital Fleury,94,18,17,2,0,25,117,5,2020-01-30
Hôpital Jean-Talon,114,22,25,4,0,29,126,10,2020-01-30
Pavillon Albert-Prévost,85,13,11,7,4,2,18,0,2020-01-30
Hôpital de Lachine,71,14,10,4,1,9,43,0,2020-01-30
Hôpital général de Montréal,116,31,36,9,5,27,83,0,2020-01-30
Hôpital Royal Victoria,142,33,47,26,12,21,130,1,2020-01-30
L'hôpital de Montréal pour enfants,75,12,9,0,0,6,260,19,2020-01-30
Institut de cardiologie de Montréal,77,22,17,2,0,0,61,0,2020-01-30
CHU Sainte-Justine,138,16,22,0,0,26,270,84,2020-01-31
Centre hospitalier de l'Université de Montréal,135,51,69,23,10,43,192,0,2020-01-31
Hôpital Louis-H. Lafontaine,117,12,14,10,3,2,17,0,2020-01-31
Hôpital Santa Cabrini,105,38,40,5,0,43,120,0,2020-01-31
Pavillon Maisonneuve/Pavillon Marcel-Lamoureux,96,54,52,7,1,63,191,7,2020-01-31
Centre hospitalier de St. Mary,127,22,28,3,0,23,108,1,2020-01-31
Hôpital de LaSalle,80,15,12,2,1,15,91,0,2020-01-31
Hôpital général du Lakeshore,106,31,33,3,2,31,103,0,2020-01-31
L'Hôpital général juif Sir Mortimer B. Davis,151,53,80,24,8,47,245,4,2020-01-31
Hôpital de Verdun,127,26,33,6,0,28,123,0,2020-01-31
Hôpital Notre-Dame,94,35,33,7,2,46,123,0,2020-01-31
Hôpital du Sacré-Coeur de Montréal,100,46,46,11,8,48,207,4,2020-01-31
Hôpital Fleury,89,18,16,0,0,21,99,5,2020-01-31
Hôpital Jean-Talon,109,22,24,3,0,25,112,8,2020-01-31
Pavillon Albert-Prévost,46,13,6,4,1,0,7,0,2020-01-31
Hôpital de Lachine,100,14,14,1,0,14,60,0,2020-01-31
Hôpital général de Montréal,132,31,41,12,5,37,105,2,2020-01-31
Hôpital Royal Victoria,109,33,36,19,11,26,129,3,2020-01-31
L'hôpital de Montréal pour enfants,108,12,13,1,0,7,242,9,2020-01-31
Institut de cardiologie de Montréal,36,22,8,0,0,3,54,0,2020-01-31
CHU Sainte-Justine,100,16,16,0,0,13,252,90,2020-02-01
Centre hospitalier de l'Université de Montréal,122,51,62,24,8,48,177,0,2020-02-01
Hôpital Louis-H. Lafontaine,117,12,14,11,8,0,8,0,2020-02-01
Hôpital Santa Cabrini,82,38,31,15,0,42,105,0,2020-02-01
Pavillon Maisonneuve/Pavillon Marcel-Lamoureux,126,54,68,19,2,58,225,5,2020-02-01
Centre hospitalier de St. Mary,91,22,20,4,0,31,116,2,2020-02-01
Hôpital de LaSalle,47,15,7,2,0,8,81,0,2020-02-01
Hôpital général du Lakeshore,97,31,30,4,1,27,107,0,2020-02-01
L'Hôpital général juif Sir Mortimer B. Davis,164,53,87,35,15,43,216,4,2020-02-01
Hôpital de Verdun,154,26,40,4,2,38,107,1,2020-02-01
Hôpital Notre-Dame,100,35,35,8,6,45,118,0,2020-02-01
Hôpital du Sacré-Coeur de Montréal,111,46,51,16,6,38,156,5,2020-02-01
Hôpital Fleury,89,18,16,0,0,22,71,2,2020-02-01
Hôpital Jean-Talon,77,22,17,3,0,24,91,5,2020-02-01
Pavillon Albert-Prévost,54,13,7,5,4,0,8,0,2020-02-01
Hôpital de Lachine,86,14,12,4,0,9,45,0,2020-02-01
Hôpital général de Montréal,139,31,43,17,5,31,101,2,2020-02-01
Hôpital Royal Victoria,127,33,42,16,9,23,120,0,2020-02-01
L'hôpital de Montréal pour enfants,100,12,12,0,0,12,258,19,2020-02-01
Institut de cardiologie de Montréal,50,22,11,2,0,6,35,0,2020-02-01
CHU Sainte-Justine,112,16,18,0,0,13,252,113,2020-02-02
Centre hospitalier de l'Université de Montréal,122,51,62,23,7,48,180,0,2020-02-02
Hôpital Louis-H. Lafontaine,158,12,19,15,10,1,8,0,2020-02-02
Hôpital Santa Cabrini,76,38,29,7,1,33,111,0,2020-02-02
Pavillon Maisonneuve/Pavillon Marcel-Lamoureux,107,54,58,25,3,57,208,11,2020-02-02
Centre hospitalier de St. Mary,105,22,23,2,1,27,98,5,2020-02-02
Hôpital de LaSalle,113,15,17,2,0,15,72,0,2020-02-02
Hôpital général du Lakeshore,177,31,55,12,0,20,115,0,2020-02-02
L'Hôpital général juif Sir Mortimer B. Davis,183,53,97,34,18,41,218,6,2020-02-02
Hôpital de Verdun,115,26,30,8,1,37,116,0,2020-02-02
Hôpital Notre-Dame,83,35,29,13,6,35,101,0,2020-02-02
Hôpital du Sacré-Coeur de Montréal,115,46,53,22,7,40,182,3,2020-02-02
Hôpital Fleury,61,18,11,1,0,21,76,2,2020-02-02
Hôpital Jean-Talon,123,22,27,6,0,24,101,7,2020-02-02
Pavillon Albert-Prévost,54,13,7,6,5,1,6,0,2020-02-02
Hôpital de Lachine,86,14,12,2,0,12,50,0,2020-02-02
Hôpital général de Montréal,129,31,40,19,11,33,84,2,2020-02-02
Hôpital Royal Victoria,139,33,46,19,8,18,110,2,2020-02-02
L'hôpital de Montréal pour enfants,92,12,11,0,0,11,259,14,2020-02-02
Institut de cardiologie de Montréal,68,22,15,3,0,5,52,0,2020-02-02
CHU Sainte-Justine,144,16,23,0,0,20,281,96,2020-02-03
Centre hospitalier de l'Université de Montréal,149,51,76,23,9,45,203,0,2020-02-03
Hôpital Louis-H. Lafontaine,133,12,16,10,5,2,16,0,2020-02-03
Hôpital Santa Cabrini,100,38,38,3,0,37,114,0,2020-02-03
Pavillon Maisonneuve/Pavillon Marcel-Lamoureux,126,54,68,17,4,43,242,2,2020-02-03
Centre hospitalier de St. Mary,136,22,30,8,1,24,114,1,2020-02-03
Hôpital de LaSalle,53,15,8,4,0,13,86,0,2020-02-03
Hôpital général du Lakeshore,174,31,54,15,1,30,132,0,2020-02-03
L'Hôpital général juif Sir Mortimer B. Davis,166,53,88,29,15,44,285,5,2020-02-03
Hôpital de Verdun,208,26,54,7,1,37,137,0,2020-02-03
Hôpital Notre-Dame,117,35,41,7,6,46,138,0,2020-02-03
Hôpital du Sacré-Coeur de Montréal,130,46,60,15,6,41,192,6,2020-02-03
Hôpital Fleury,150,18,27,0,0,21,117,6,2020-02-03
Hôpital Jean-Talon,105,22,23,6,0,23,124,4,2020-02-03
Pavillon Albert-Prévost,23,13,3,0,0,0,10,0,2020-02-03
Hôpital de Lachine,107,14,15,4,1,13,69,0,2020-02-03
Hôpital général de Montréal,139,31,43,19,12,39,96,0,2020-02-03
Hôpital Royal Victoria,142,33,47,15,8,28,155,0,2020-02-03
L'hôpital de Montréal pour enfants,67,12,8,0,0,13,262,21,2020-02-03
Institut de cardiologie de Montréal,64,22,14,5,1,6,66,0,2020-02-03
CHU Sainte-Justine,75,16,12,0,0,19,270,96,2020-02-04
Centre hospitalier de l'Université de Montréal,151,51,77,30,5,46,211,0,2020-02-04
Hôpital Louis-H. Lafontaine,133,12,16,9,4,6,16,0,2020-02-04
Hôpital Santa Cabrini,111,38,42,9,0,44,120,0,2020-02-04
Pavillon Maisonneuve/Pavillon Marcel-Lamoureux,152,54,82,25,5,63,247,8,2020-02-04
Centre hospitalier de St. Mary,118,22,26,6,0,24,116,1,2020-02-04
Hôpital de LaSalle,100,15,15,4,2,12,99,0,2020-02-04
Hôpital Douglas,117,6,7,0,0,1,21,0,2020-02-04
Hôpital général du Lakeshore,174,31,54,17,4,25,115,0,2020-02-04
L'Hôpital général juif Sir Mortimer B. Davis,170,53,90,23,8,45,280,12,2020-02-04
Hôpital de Verdun,212,26,55,15,0,39,128,0,2020-02-04
Hôpital Notre-Dame,91,35,32,9,4,49,126,0,2020-02-04
Hôpital du Sacré-Coeur de Montréal,137,46,63,23,8,42,199,6,2020-02-04
Hôpital Fleury,117,18,21,7,0,25,101,9,2020-02-04
Hôpital Jean-Talon,109,22,24,4,1,27,123,1,2020-02-04
Pavillon Albert-Prévost,54,13,7,0,0,0,13,0,2020-02-04
Hôpital de Lachine,100,14,14,3,1,13,56,0,2020-02-04
Hôpital général de Montréal,132,31,41,15,7,35,103,3,2020-02-04
Hôpital Royal Victoria,155,33,51,29,7,25,135,3,2020-02-04
L'hôpital de Montréal pour enfants,108,12,13,0,0,10,263,13,2020-02-04
Institut de cardiologie de Montréal,91,22,20,4,2,4,59,0,2020-02-04
CHU Sainte-Justine,150,16,24,0,0,13,276,97,2020-02-05
Centre hospitalier de l'Université de Montréal,171,51,87,34,8,45,199,0,2020-02-05
Hôpital Louis-H. Lafontaine,100,12,12,7,4,3,15,0,2020-02-05
Hôpital Santa Cabrini,111,38,42,12,1,40,121,0,2020-02-05
Pavillon Maisonneuve/Pavillon Marcel-Lamoureux,131,54,71,24,4,61,213,2,2020-02-05
Centre hospitalier de St. Mary,114,22,25,4,0,28,122,1,2020-02-05
Hôpital de LaSalle,113,15,17,4,1,14,70,0,2020-02-05
Hôpital Douglas,100,6,6,0,0,2,23,0,2020-02-05
Hôpital général du Lakeshore,158,31,49,11,3,34,123,0,2020-02-05
L'Hôpital général juif Sir Mortimer B. Davis,170,53,90,23,3,41,265,5,2020-02-05
Hôpital de Verdun,158,26,41,15,2,32,127,0,2020-02-05
Hôpital Notre-Dame,77,35,27,5,3,43,123,0,2020-02-05
Hôpital du Sacré-Coeur de Montréal,122,46,56,18,10,31,169,1,2020-02-05
Hôpital Fleury,94,18,17,1,0,23,106,5,2020-02-05
Hôpital Jean-Talon,86,22,19,5,0,24,127,8,2020-02-05
Pavillon Albert-Prévost,100,13,13,6,0,0,14,0,2020-02-05
Hôpital de Lachine,107,14,15,3,0,12,65,0,2020-02-05
Hôpital général de Montréal,113,31,35,19,9,38,108,3,2020-02-05
Hôpital Royal Victoria,136,33,45,20,8,23,141,0,2020-02-05
L'hôpital de Montréal pour enfants,58,12,7,0,0,12,254,11,2020-02-05
Institut de cardiologie de Montréal,73,22,16,3,0,8,56,0,2020-02-05
CHU Sainte-Justine,112,16,18,0,0,10,216,68,2020-02-06
Centre hospitalier de l'Université de Montréal,159,51,81,30,7,54,190,0,2020-02-06
Hôpital Louis-H. Lafontaine,117,12,14,7,5,1,12,0,2020-02-06
Hôpital Santa Cabrini,87,38,33,9,1,42,99,0,2020-02-06
Pavillon Maisonneuve/Pavillon Marcel-Lamoureux,133,54,72,16,0,51,235,1,2020-02-06
Centre hospitalier de St. Mary,114,22,25,2,0,29,109,2,2020-02-06
Hôpital de LaSalle,107,15,16,5,1,9,75,0,2020-02-06
Hôpital Douglas,117,6,7,0,0,1,17,0,2020-02-06
Hôpital général du Lakeshore,126,31,39,12,3,24,116,0,2020-02-06
L'Hôpital général juif Sir Mortimer B. Davis,142,53,75,18,7,46,234,7,2020-02-06
Hôpital de Verdun,185,26,48,15,2,37,135,0,2020-02-06
Hôpital Notre-Dame,91,35,32,7,3,43,123,0,2020-02-06
Hôpital Fleury,111,18,20,2,0,26,90,3,2020-02-06
Hôpital Jean-Talon,77,22,17,2,0,27,123,6,2020-02-06
Pavillon Albert-Prévost,100,13,13,9,5,2,10,0,2020-02-06
Hôpital de Lachine,129,14,18,6,1,14,57,0,2020-02-06
Hôpital général de Montréal,168,31,52,18,12,34,77,1,2020-02-06
Hôpital Royal Victoria,133,33,44,21,7,26,147,1,2020-02-06
L'hôpital de Montréal pour enfants,50,12,6,0,0,15,253,20,2020-02-06
Institut de cardiologie de Montréal,55,22,12,3,1,5,59,0,2020-02-06
CHU Sainte-Justine,81,16,13,0,0,13,167,56,2020-02-07
Centre hospitalier de l'Université de Montréal,141,51,72,30,8,43,170,0,2020-02-07
Hôpital Louis-H. Lafontaine,83,12,10,6,1,1,13,0,2020-02-07
Hôpital Santa Cabrini,63,38,24,6,0,32,74,0,2020-02-07
Pavillon Maisonneuve/Pavillon Marcel-Lamoureux,119,54,64,20,2,54,170,0,2020-02-07
Centre hospitalier de St. Mary,105,22,23,3,1,26,87,0,2020-02-07
Hôpital de LaSalle,80,15,12,1,0,9,57,0,2020-02-07
Hôpital Douglas,167,6,10,1,0,0,23,0,2020-02-07
Hôpital général du Lakeshore,126,31,39,8,4,25,100,0,2020-02-07
L'Hôpital général juif Sir Mortimer B. Davis,134,53,71,18,6,40,188,3,2020-02-07
Hôpital de Verdun,119,26,31,6,1,30,109,0,2020-02-07
Hôpital Notre-Dame,77,35,27,5,2,41,106,0,2020-02-07
Hôpital du Sacré-Coeur de Montréal,111,46,51,21,10,38,132,4,2020-02-07
Hôpital Fleury,89,18,16,1,0,22,69,4,2020-02-07
Hôpital Jean-Talon,100,22,22,5,0,21,89,1,2020-02-07
Pavillon Albert-Prévost,100,13,13,9,3,1,8,0,2020-02-07
Hôpital de Lachine,107,14,15,9,4,11,46,0,2020-02-07
Hôpital général de Montréal,110,31,34,18,9,29,93,1,2020-02-07
Hôpital Royal Victoria,136,33,45,22,9,28,118,0,2020-02-07
L'hôpital de Montréal pour enfants,125,12,15,1,0,7,172,16,2020-02-07
Institut de cardiologie de Montréal,45,22,10,4,2,7,37,0,2020-02-07
CHU Sainte-Justine,88,16,14,1,0,15,215,71,2020-02-08
Centre hospitalier de l'Université de Montréal,137,51,70,36,15,46,138,0,2020-02-08
Hôpital Louis-H. Lafontaine,125,12,15,7,4,1,13,0,2020-02-08
Hôpital Santa Cabrini,68,38,26,5,0,36,97,0,2020-02-08
Pavillon Maisonneuve/Pavillon Marcel-Lamoureux,115,54,62,24,10,49,174,4,2020-02-08
Centre hospitalier de St. Mary,82,22,18,5,0,21,83,1,2020-02-08
Hôpital de LaSalle,80,15,12,1,0,9,61,0,2020-02-08
Hôpital Douglas,167,6,10,6,0,0,11,0,2020-02-08
Hôpital général du Lakeshore,135,31,42,14,2,22,81,0,2020-02-08
L'Hôpital général juif Sir Mortimer B. Davis,128,53,68,18,7,38,187,3,2020-02-08
Hôpital de Verdun,112,26,29,1,0,30,101,0,2020-02-08
Hôpital Notre-Dame,97,35,34,4,3,36,92,0,2020-02-08
Hôpital du Sacré-Coeur de Montréal,128,46,59,21,10,43,156,7,2020-02-08
Hôpital Fleury,94,18,17,0,0,21,76,5,2020-02-08
Hôpital Jean-Talon,95,22,21,11,0,23,89,3,2020-02-08
Pavillon Albert-Prévost,92,13,12,10,7,0,4,0,2020-02-08
Hôpital de Lachine,86,14,12,5,3,12,43,0,2020-02-08
Hôpital général de Montréal,94,31,29,13,10,29,84,0,2020-02-08
Hôpital Royal Victoria,121,33,40,16,7,20,111,1,2020-02-08
L'hôpital de Montréal pour enfants,83,12,10,0,0,8,197,9,2020-02-08
Institut de cardiologie de Montréal,45,22,10,3,2,2,27,0,2020-02-08
CHU Sainte-Justine,75,16,12,0,0,13,264,86,2020-02-09
Centre hospitalier de l'Université de Montréal,129,51,66,37,19,40,160,0,2020-02-09
Hôpital Louis-H. Lafontaine,133,12,16,10,4,0,15,0,2020-02-09
Hôpital Santa Cabrini,95,38,36,11,0,36,91,0,2020-02-09
Pavillon Maisonneuve/Pavillon Marcel-Lamoureux,124,54,67,17,5,47,179,6,2020-02-09
Centre hospitalier de St. Mary,77,22,17,1,0,11,84,0,2020-02-09
Hôpital de LaSalle,113,15,17,3,0,16,74,1,2020-02-09
Hôpital Douglas,183,6,11,8,5,1,8,0,2020-02-09
Hôpital général du Lakeshore,155,31,48,21,6,26,98,0,2020-02-09
L'Hôpital général juif Sir Mortimer B. Davis,125,53,66,26,9,44,187,3,2020-02-09
Hôpital de Verdun,112,26,29,8,0,31,128,0,2020-02-09
Hôpital Notre-Dame,97,35,34,8,4,40,120,0,2020-02-09
Hôpital du Sacré-Coeur de Montréal,113,46,52,14,9,34,139,3,2020-02-09
Hôpital Fleury,122,18,22,1,0,21,78,4,2020-02-09
Hôpital Jean-Talon,105,22,23,9,4,24,93,5,2020-02-09
Pavillon Albert-Prévost,115,13,15,10,8,0,9,0,2020-02-09
Hôpital de Lachine,107,14,15,4,1,14,41,0,2020-02-09
Hôpital général de Montréal,103,31,32,13,9,36,82,0,2020-02-09
Hôpital Royal Victoria,127,33,42,20,6,28,101,2,2020-02-09
L'hôpital de Montréal pour enfants,92,12,11,0,0,6,228,26,2020-02-09
Institut de cardiologie de Montréal,41,22,9,1,0,8,44,0,2020-02-09
CHU Sainte-Justine,112,16,18,0,0,13,237,71,2020-02-10
Centre hospitalier de l'Université de Montréal,151,51,77,22,12,41,215,0,2020-02-10
Hôpital Louis-H. Lafontaine,192,12,23,15,10,2,20,0,2020-02-10
Hôpital Santa Cabrini,97,38,37,10,2,46,114,0,2020-02-10
Pavillon Maisonneuve/Pavillon Marcel-Lamoureux,126,54,68,14,1,64,208,3,2020-02-10
Centre hospitalier de St. Mary,95,22,21,1,0,28,115,2,2020-02-10
Hôpital de LaSalle,93,15,14,6,0,12,87,0,2020-02-10
Hôpital Douglas,217,6,13,3,2,3,16,0,2020-02-10
Hôpital général du Lakeshore,203,31,63,19,7,29,128,0,2020-02-10
L'Hôpital général juif Sir Mortimer B. Davis,140,53,74,17,9,47,275,8,2020-02-10
Hôpital de Verdun,142,26,37,6,1,36,121,0,2020-02-10
Hôpital Notre-Dame,103,35,36,8,3,46,125,0,2020-02-10
Hôpital du Sacré-Coeur de Montréal,141,46,65,22,5,48,198,4,2020-02-10
Hôpital Fleury,117,18,21,3,0,21,105,2,2020-02-10
Hôpital Jean-Talon,95,22,21,7,2,27,120,7,2020-02-10
Pavillon Albert-Prévost,62,13,8,7,4,0,8,0,2020-02-10
Hôpital de Lachine,86,14,12,7,2,11,47,0,2020-02-10
Hôpital général de Montréal,87,31,27,10,7,35,95,1,2020-02-10
Hôpital Royal Victoria,148,33,49,18,9,25,139,1,2020-02-10
L'hôpital de Montréal pour enfants,75,12,9,0,0,11,220,12,2020-02-10
Institut de cardiologie de Montréal,73,22,16,2,1,8,69,0,2020-02-10
CHU Sainte-Justine,125,16,20,1,0,18,217,76,2020-02-11
Centre hospitalier de l'Université de Montréal,135,51,69,32,9,45,192,0,2020-02-11
Hôpital Louis-H. Lafontaine,200,12,24,16,9,2,22,0,2020-02-11
Hôpital Santa Cabrini,108,38,41,7,0,42,106,0,2020-02-11
Pavillon Maisonneuve/Pavillon Marcel-Lamoureux,111,54,60,15,0,65,215,7,2020-02-11
Centre hospitalier de St. Mary,145,22,32,7,0,30,115,4,2020-02-11
Hôpital de LaSalle,160,15,24,6,4,13,83,0,2020-02-11
Hôpital Douglas,167,6,10,6,0,2,18,0,2020-02-11
Hôpital général du Lakeshore,213,31,66,31,5,31,115,0,2020-02-11
